  [n1] 完成 場景=64 物視角=2176 recall=1.000
  [n3] 完成 場景=61 物視角=6216 recall=0.994
  [n4] 完成 場景=61 物視角=8247 recall=0.996
  [n5] 完成 場景=61 物視角=10301 recall=0.992
  [occ3] 完成 場景=20 物視角=2007 recall=0.994
  [occ4] 完成 場景=20 物視角=2696 recall=0.993
  [occ5] 完成 場景=20 物視角=3317 recall=0.988
  [stack3] 完成 場景=20 物視角=2038 recall=0.984
  [stack4] 完成 場景=20 物視角=2682 recall=0.977
  [stack5] 完成 場景=20 物視角=3370 recall=0.987

組              物-視角數  recall@.5   meanIoU
n1              2176      1.000     0.966
n3              6216      0.994     0.921
n4              8247      0.996     0.920
n5             10301      0.992     0.913
occ3            2007      0.994     0.955
occ4            2696      0.993     0.954
occ5            3317      0.988     0.941
stack3          2038      0.984     0.914
stack4          2682      0.977     0.911
stack5          3370      0.987     0.919
-----------------------------------------
總計             43050      0.992     0.925

物體(最常漏, 物視角≥12)                     物-視角  recall@.5   meanIoU
050_medium_clamp                     592      0.946     0.835
062_dice                             583      0.950     0.810
007_tuna_fish_can                    847      0.961     0.892
008_pudding_box                      814      0.969     0.934
002_master_chef_can                  985      0.976     0.943
014_lemon                            582      0.978     0.916
026_sponge                           913      0.980     0.924
058_golf_ball                        668      0.981     0.904
018_plum                             679      0.981     0.919
012_strawberry                       789      0.984     0.909
055_baseball                         666      0.985     0.934
030_fork                             611      0.989     0.809
009_gelatin_box                     1019      0.989     0.928
065-d_cups                           675      0.990     0.935
070-a_colored_wood_blocks            884      0.990     0.890
