  [n1] 完成 場景=64 物視角=2176 recall=1.000
  [n3] 完成 場景=61 物視角=6216 recall=0.995
  [n4] 完成 場景=61 物視角=8247 recall=0.995
  [n5] 完成 場景=61 物視角=10301 recall=0.993
  [occ3] 完成 場景=20 物視角=2007 recall=0.995
  [occ4] 完成 場景=20 物視角=2696 recall=0.993
  [occ5] 完成 場景=20 物視角=3317 recall=0.988
  [stack3] 完成 場景=20 物視角=2038 recall=0.968
  [stack4] 完成 場景=20 物視角=2682 recall=0.969
  [stack5] 完成 場景=20 物視角=3370 recall=0.979

組              物-視角數  recall@.5   meanIoU
n1              2176      1.000     0.960
n3              6216      0.995     0.922
n4              8247      0.995     0.920
n5             10301      0.993     0.913
occ3            2007      0.995     0.951
occ4            2696      0.993     0.949
occ5            3317      0.988     0.935
stack3          2038      0.968     0.896
stack4          2682      0.969     0.897
stack5          3370      0.979     0.906
-----------------------------------------
總計             43050      0.990     0.921

物體(最常漏, 物視角≥12)                     物-視角  recall@.5   meanIoU
007_tuna_fish_can                    847      0.921     0.872
050_medium_clamp                     592      0.944     0.820
008_pudding_box                      814      0.948     0.912
062_dice                             583      0.950     0.807
026_sponge                           913      0.968     0.904
002_master_chef_can                  985      0.972     0.935
009_gelatin_box                     1019      0.976     0.907
014_lemon                            582      0.979     0.912
058_golf_ball                        668      0.981     0.903
012_strawberry                       789      0.981     0.904
055_baseball                         666      0.985     0.931
018_plum                             679      0.985     0.917
030_fork                             611      0.987     0.799
065-d_cups                           675      0.990     0.932
031_spoon                            501      0.990     0.904
