  [n1] 完成 場景=64 物視角=2176 recall=0.949
  [n3] 完成 場景=61 物視角=6216 recall=0.965
  [n4] 完成 場景=61 物視角=8247 recall=0.965
  [n5] 完成 場景=61 物視角=10301 recall=0.958
  [occ3] 完成 場景=20 物視角=2007 recall=0.966
  [occ4] 完成 場景=20 物視角=2696 recall=0.961
  [occ5] 完成 場景=20 物視角=3317 recall=0.964
  [stack3] 完成 場景=20 物視角=2038 recall=0.922
  [stack4] 完成 場景=20 物視角=2682 recall=0.914
  [stack5] 完成 場景=20 物視角=3370 recall=0.938

組              物-視角數  recall@.5   meanIoU
n1              2176      0.949     0.919
n3              6216      0.965     0.898
n4              8247      0.965     0.895
n5             10301      0.958     0.885
occ3            2007      0.966     0.928
occ4            2696      0.961     0.924
occ5            3317      0.964     0.915
stack3          2038      0.922     0.859
stack4          2682      0.914     0.851
stack5          3370      0.938     0.876
-----------------------------------------
總計             43050      0.955     0.893

物體(最常漏, 物視角≥12)                     物-視角  recall@.5   meanIoU
059_chain                             34      0.000     0.001
062_dice                             583      0.587     0.501
028_skillet_lid                      442      0.627     0.595
070-a_colored_wood_blocks            884      0.657     0.684
035_power_drill                      442      0.778     0.770
037_scissors                         476      0.803     0.703
007_tuna_fish_can                    847      0.855     0.823
008_pudding_box                      814      0.905     0.887
050_medium_clamp                     592      0.910     0.794
009_gelatin_box                     1019      0.931     0.893
031_spoon                            501      0.934     0.857
070-b_colored_wood_blocks           1675      0.942     0.870
030_fork                             611      0.943     0.780
026_sponge                           913      0.947     0.903
002_master_chef_can                  985      0.956     0.914
