scene,variant,cover,cut,ghost,tp,fn,fp,hull_vox,gt_vox
stack3_scene0001,am1,0.8386,0.1614,0.5086,2400,462,2484,4884,2862
stack3_scene0001,am1+photo,0.8274,0.1726,0.4433,2368,494,1886,4254,2862
stack3_scene0001,am1+mixed,0.5252,0.4748,0.4,1503,1359,1002,2505,2862
stack3_scene0001,am1+photo+mixed,0.4773,0.5227,0.3136,1366,1496,624,1990,2862
stack3_scene0002,am1,0.9109,0.0891,0.2013,5032,492,1268,6300,5524
stack3_scene0002,am1+photo,0.9053,0.0947,0.1407,5001,523,819,5820,5524
stack3_scene0002,am1+mixed,0.2082,0.7918,0.3429,1150,4374,600,1750,5524
stack3_scene0002,am1+photo+mixed,0.1971,0.8029,0.2132,1089,4435,295,1384,5524
stack3_scene0003,am1,0.8877,0.1123,0.1188,4901,620,661,5562,5521
stack3_scene0003,am1+photo,0.8832,0.1168,0.0938,4876,645,505,5381,5521
stack3_scene0003,am1+mixed,0.2682,0.7318,0.139,1481,4040,239,1720,5521
stack3_scene0003,am1+photo+mixed,0.2599,0.7401,0.1037,1435,4086,166,1601,5521
stack3_scene0004,am1,0.8895,0.1105,0.0412,7589,943,326,7915,8532
stack3_scene0004,am1+photo,0.8796,0.1204,0.0351,7505,1027,273,7778,8532
stack3_scene0004,am1+mixed,0.2874,0.7126,0.0369,2452,6080,94,2546,8532
stack3_scene0004,am1+photo+mixed,0.2739,0.7261,0.0339,2337,6195,82,2419,8532
stack3_scene0005,am1,0.8743,0.1257,0.1056,4117,592,486,4603,4709
stack3_scene0005,am1+photo,0.832,0.168,0.0671,3918,791,282,4200,4709
stack3_scene0005,am1+mixed,0.265,0.735,0.0111,1248,3461,14,1262,4709
stack3_scene0005,am1+photo+mixed,0.1969,0.8031,0.0149,927,3782,14,941,4709
stack3_scene0006,am1,0.8886,0.1114,0.0482,12785,1603,647,13432,14388
stack3_scene0006,am1+photo,0.8828,0.1172,0.0405,12702,1686,536,13238,14388
stack3_scene0006,am1+mixed,0.0637,0.9363,0.07,917,13471,69,986,14388
stack3_scene0006,am1+photo+mixed,0.0605,0.9395,0.0685,870,13518,64,934,14388
stack3_scene0007,am1,0.952,0.048,0.1532,20164,1016,3648,23812,21180
stack3_scene0007,am1+photo,0.9412,0.0588,0.1401,19935,1245,3247,23182,21180
stack3_scene0007,am1+mixed,0.4093,0.5907,0.1282,8670,12510,1275,9945,21180
stack3_scene0007,am1+photo+mixed,0.3789,0.6211,0.1189,8026,13154,1083,9109,21180
stack3_scene0008,am1,0.9438,0.0562,0.1685,22216,1322,4503,26719,23538
stack3_scene0008,am1+photo,0.9325,0.0675,0.1466,21949,1589,3770,25719,23538
stack3_scene0008,am1+mixed,0.389,0.611,0.0927,9156,14382,935,10091,23538
stack3_scene0008,am1+photo+mixed,0.35,0.65,0.0721,8238,15300,640,8878,23538
stack3_scene0009,am1,0.882,0.118,0.1206,4530,606,621,5151,5136
stack3_scene0009,am1+photo,0.8705,0.1295,0.0957,4471,665,473,4944,5136
stack3_scene0009,am1+mixed,0.2278,0.7722,0.1528,1170,3966,211,1381,5136
stack3_scene0009,am1+photo+mixed,0.2229,0.7771,0.1131,1145,3991,146,1291,5136
stack3_scene0010,am1,0.9528,0.0472,0.1513,28430,1407,5068,33498,29837
stack3_scene0010,am1+photo,0.9382,0.0618,0.1359,27994,1843,4401,32395,29837
stack3_scene0010,am1+mixed,0.4274,0.5726,0.145,12753,17084,2163,14916,29837
stack3_scene0010,am1+photo+mixed,0.3836,0.6164,0.145,11445,18392,1941,13386,29837
stack3_scene0011,am1,0.8508,0.1492,0.0938,5176,908,536,5712,6084
stack3_scene0011,am1+photo,0.8419,0.1581,0.0724,5122,962,400,5522,6084
stack3_scene0011,am1+mixed,0.1741,0.8259,0.0902,1059,5025,105,1164,6084
stack3_scene0011,am1+photo+mixed,0.1617,0.8383,0.0795,984,5100,85,1069,6084
stack3_scene0012,am1,0.8941,0.1059,0.2125,4659,552,1257,5916,5211
stack3_scene0012,am1+photo,0.8852,0.1148,0.0987,4613,598,505,5118,5211
stack3_scene0012,am1+mixed,0.2696,0.7304,0.3739,1405,3806,839,2244,5211
stack3_scene0012,am1+photo+mixed,0.2573,0.7427,0.1459,1341,3870,229,1570,5211
stack3_scene0013,am1,0.8615,0.1385,0.1941,3613,581,870,4483,4194
stack3_scene0013,am1+photo,0.8324,0.1676,0.1533,3491,703,632,4123,4194
stack3_scene0013,am1+mixed,0.3641,0.6359,0.0834,1527,2667,139,1666,4194
stack3_scene0013,am1+photo+mixed,0.3267,0.6733,0.0768,1370,2824,114,1484,4194
stack3_scene0014,am1,0.9027,0.0973,0.0503,13935,1502,738,14673,15437
stack3_scene0014,am1+photo,0.8933,0.1067,0.0358,13790,1647,512,14302,15437
stack3_scene0014,am1+mixed,0.2931,0.7069,0.0057,4524,10913,26,4550,15437
stack3_scene0014,am1+photo+mixed,0.269,0.731,0.0053,4152,11285,22,4174,15437
stack3_scene0015,am1,0.8858,0.1142,0.1744,3739,482,790,4529,4221
stack3_scene0015,am1+photo,0.8534,0.1466,0.1276,3602,619,527,4129,4221
stack3_scene0015,am1+mixed,0.3068,0.6932,0.0757,1295,2926,106,1401,4221
stack3_scene0015,am1+photo+mixed,0.2476,0.7524,0.0744,1045,3176,84,1129,4221
stack3_scene0016,am1,0.8946,0.1054,0.1661,7563,891,1506,9069,8454
stack3_scene0016,am1+photo,0.8872,0.1128,0.1204,7500,954,1027,8527,8454
stack3_scene0016,am1+mixed,0.0924,0.9076,0.0713,781,7673,60,841,8454
stack3_scene0016,am1+photo+mixed,0.072,0.928,0.0645,609,7845,42,651,8454
stack3_scene0017,am1,0.9025,0.0975,0.0552,13903,1502,813,14716,15405
stack3_scene0017,am1+photo,0.8983,0.1017,0.0435,13838,1567,630,14468,15405
stack3_scene0017,am1+mixed,0.3148,0.6852,0.0232,4850,10555,115,4965,15405
stack3_scene0017,am1+photo+mixed,0.3045,0.6955,0.0176,4691,10714,84,4775,15405
stack3_scene0018,am1,0.9037,0.0963,0.151,7420,791,1320,8740,8211
stack3_scene0018,am1+photo,0.8886,0.1114,0.1205,7296,915,1000,8296,8211
stack3_scene0018,am1+mixed,0.1939,0.8061,0.3317,1592,6619,790,2382,8211
stack3_scene0018,am1+photo+mixed,0.1941,0.8059,0.241,1594,6617,506,2100,8211
stack3_scene0019,am1,0.9411,0.0589,0.2041,17793,1113,4562,22355,18906
stack3_scene0019,am1+photo,0.9184,0.0816,0.1742,17364,1542,3663,21027,18906
stack3_scene0019,am1+mixed,0.4033,0.5967,0.1835,7625,11281,1714,9339,18906
stack3_scene0019,am1+photo+mixed,0.3612,0.6388,0.1443,6829,12077,1152,7981,18906
stack3_scene0020,am1,0.8372,0.1628,0.5643,3024,588,3917,6941,3612
stack3_scene0020,am1+photo,0.8142,0.1858,0.5177,2941,671,3157,6098,3612
stack3_scene0020,am1+mixed,0.3469,0.6531,0.593,1253,2359,1826,3079,3612
stack3_scene0020,am1+photo+mixed,0.2984,0.7016,0.5353,1078,2534,1242,2320,3612
stack4_scene0001,am1,0.9318,0.0682,0.1612,15989,1171,3072,19061,17160
stack4_scene0001,am1+photo,0.9184,0.0816,0.1341,15760,1400,2441,18201,17160
stack4_scene0001,am1+mixed,0.3003,0.6997,0.129,5154,12006,763,5917,17160
stack4_scene0001,am1+photo+mixed,0.2675,0.7325,0.084,4591,12569,421,5012,17160
stack4_scene0002,am1,0.8576,0.1424,0.1016,4945,821,559,5504,5766
stack4_scene0002,am1+photo,0.8467,0.1533,0.0835,4882,884,445,5327,5766
stack4_scene0002,am1+mixed,0.1627,0.8373,0.0813,938,4828,83,1021,5766
stack4_scene0002,am1+photo+mixed,0.1561,0.8439,0.0712,900,4866,69,969,5766
stack4_scene0003,am1,0.9063,0.0937,0.0822,15050,1556,1348,16398,16606
stack4_scene0003,am1+photo,0.9002,0.0998,0.0592,14949,1657,940,15889,16606
stack4_scene0003,am1+mixed,0.3703,0.6297,0.0626,6150,10456,411,6561,16606
stack4_scene0003,am1+photo+mixed,0.3531,0.6469,0.0467,5864,10742,287,6151,16606
stack4_scene0004,am1,0.9219,0.0781,0.306,33623,2849,14826,48449,36472
stack4_scene0004,am1+photo,0.908,0.092,0.2799,33118,3354,12870,45988,36472
stack4_scene0004,am1+mixed,0.3158,0.6842,0.2735,11519,24953,4337,15856,36472
stack4_scene0004,am1+photo+mixed,0.2831,0.7169,0.2075,10325,26147,2704,13029,36472
stack4_scene0005,am1,0.8016,0.1984,0.3719,2182,540,1292,3474,2722
stack4_scene0005,am1+photo,0.7866,0.2134,0.3096,2141,581,960,3101,2722
stack4_scene0005,am1+mixed,0.4533,0.5467,0.3358,1234,1488,624,1858,2722
stack4_scene0005,am1+photo+mixed,0.4273,0.5727,0.2874,1163,1559,469,1632,2722
stack4_scene0006,am1,0.9514,0.0486,0.2846,26973,1379,10728,37701,28352
stack4_scene0006,am1+photo,0.9454,0.0546,0.2542,26804,1548,9134,35938,28352
stack4_scene0006,am1+mixed,0.4553,0.5447,0.2558,12909,15443,4438,17347,28352
stack4_scene0006,am1+photo+mixed,0.4258,0.5742,0.2369,12072,16280,3748,15820,28352
stack4_scene0007,am1,0.8979,0.1021,0.142,10853,1234,1796,12649,12087
