scene,view,objA,objB,same,boundary_jump_mm,boundary_rel,region_diff_mm,region_rel,tall
stack4_scene0001,view_el30_az135,wood_block,racquetball,0,20.6,1.58,159.7,4.58,1
stack4_scene0001,view_el30_az135,cups,cups,1,3.1,0.4,13.3,0.46,0
stack4_scene0001,view_el30_az195,wood_block,racquetball,0,104.8,1.85,169.2,4.38,1
stack4_scene0001,view_el30_az195,wood_block,racquetball,0,104.8,1.82,164.4,4.45,1
stack4_scene0001,view_el30_az195,cups,cups,1,0.6,0.04,5.3,0.21,0
stack4_scene0001,view_el30_az210,cups,cups,1,2.3,0.26,2.0,0.08,0
stack4_scene0001,view_el30_az240,cups,cups,1,3.8,0.16,1.0,0.04,0
stack4_scene0001,view_el30_az240,racquetball,racquetball,1,0.7,0.05,11.9,0.95,0
stack4_scene0001,view_el45_az135,wood_block,cups,0,207.4,23.43,181.3,3.77,1
stack4_scene0001,view_el45_az135,wood_block,racquetball,0,14.1,0.92,162.0,3.65,1
stack4_scene0001,view_el45_az135,cups,cups,1,3.5,0.35,1.8,0.07,0
stack4_scene0001,view_el45_az135,cups,cups,1,3.5,0.3,9.8,0.33,0
stack4_scene0001,view_el45_az225,racquetball,racquetball,1,17.0,1.72,-1,-1,0
stack4_scene0001,view_el60_az180,wood_block,wood_block,1,10.6,0.1,7.4,0.07,1
stack4_scene0001,view_el60_az180,wood_block,wood_block,1,115.4,0.88,53.6,0.63,1
stack4_scene0001,view_el60_az180,wood_block,wood_block,1,43.3,0.55,25.1,0.32,1
stack4_scene0001,view_el60_az180,wood_block,wood_block,1,1.0,0.05,29.0,0.4,1
stack4_scene0001,view_el60_az195,wood_block,wood_block,1,110.0,1.81,-1,-1,1
stack4_scene0001,view_el60_az195,wood_block,racquetball,0,159.0,1.73,165.7,2.96,1
stack4_scene0001,view_el60_az195,wood_block,wood_block,1,1.8,0.03,46.6,0.66,1
stack4_scene0001,view_el60_az195,wood_block,racquetball,0,4.3,0.02,196.1,4.84,1
stack4_scene0001,view_el60_az195,wood_block,racquetball,0,155.9,1.75,149.5,2.87,1
stack4_scene0001,view_el60_az195,cups,cups,1,3.7,0.43,12.6,0.49,0
stack4_scene0001,view_el60_az255,wood_block,wood_block,1,77.4,0.58,60.5,0.78,1
stack4_scene0001,view_el60_az255,cups,cups,1,2.9,0.17,12.7,0.6,0
stack4_scene0001,view_el75_az105,wood_block,wood_block,1,57.5,1.76,-1,-1,1
stack4_scene0001,view_el75_az225,wood_block,wood_block,1,17.9,0.94,-1,-1,1
stack4_scene0001,view_el75_az225,wood_block,wood_block,1,87.3,0.91,-1,-1,1
stack4_scene0001,view_el75_az225,wood_block,wood_block,1,1.2,0.04,54.6,0.8,1
stack4_scene0001,view_el75_az225,wood_block,wood_block,1,1.2,0.04,51.3,0.74,1
stack5_scene0001,view_el30_az135,cracker_box,master_chef_can,0,77.4,1.0,167.2,3.4,1
stack5_scene0001,view_el30_az135,cracker_box,master_chef_can,0,11.1,0.19,149.2,3.74,1
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,3.1,0.18,55.9,1.51,1
stack5_scene0001,view_el30_az135,cracker_box,master_chef_can,0,13.6,0.19,128.3,3.74,1
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,79.3,0.87,44.8,0.69,1
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,0.0,0.0,17.0,0.43,1
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,3.1,0.49,15.0,1.2,1
stack5_scene0001,view_el30_az135,flat_screwdriver,flat_screwdriver,1,0.6,0.07,31.7,1.88,1
stack5_scene0001,view_el30_az135,flat_screwdriver,flat_screwdriver,1,24.5,1.89,60.8,3.19,1
stack5_scene0001,view_el30_az195,cracker_box,flat_screwdriver,0,16.7,0.12,278.5,7.72,1
stack5_scene0001,view_el30_az195,master_chef_can,master_chef_can,1,17.3,1.4,-1,-1,1
stack5_scene0001,view_el30_az195,cracker_box,cracker_box,1,2.5,0.06,7.0,0.17,1
stack5_scene0001,view_el30_az210,cracker_box,flat_screwdriver,0,221.9,22.89,233.3,6.56,1
stack5_scene0001,view_el30_az210,cracker_box,apple,0,142.0,1.65,195.1,4.92,1
stack5_scene0001,view_el30_az210,master_chef_can,flat_screwdriver,0,5.0,0.34,240.8,8.54,1
stack5_scene0001,view_el30_az210,master_chef_can,master_chef_can,1,8.2,0.4,30.7,0.87,1
stack5_scene0001,view_el30_az210,master_chef_can,flat_screwdriver,0,0.9,0.08,234.1,8.99,1
stack5_scene0001,view_el30_az210,cracker_box,cracker_box,1,0.3,0.01,8.8,0.22,1
stack5_scene0001,view_el30_az210,cracker_box,apple,0,135.2,1.77,182.9,6.69,1
stack5_scene0001,view_el30_az240,master_chef_can,flat_screwdriver,0,242.9,2.02,219.8,1.57,1
stack5_scene0001,view_el30_az240,master_chef_can,master_chef_can,1,2.5,0.11,23.2,0.54,1
stack5_scene0001,view_el30_az240,master_chef_can,flat_screwdriver,0,2.5,0.36,5.6,0.17,1
stack5_scene0001,view_el30_az240,cracker_box,cracker_box,1,2.5,0.44,6.2,0.14,1
stack5_scene0001,view_el30_az240,cracker_box,cracker_box,1,3.7,0.33,32.5,0.9,1
stack5_scene0001,view_el30_az240,cracker_box,cracker_box,1,2.5,0.89,10.0,0.36,1
stack5_scene0001,view_el30_az240,cracker_box,cracker_box,1,2.2,0.07,18.5,0.64,1
stack5_scene0001,view_el30_az240,cracker_box,cracker_box,1,2.8,0.87,24.6,1.26,1
