scene,i,j,class,plane_med,plane_min,kink_deg,zov,conn,objA,objB
n3_scene0001,2,3,並排有縫,104.0,97.8,0.0,1.0,0,cups,gelatin_box
n3_scene0002,1,2,並排有縫,123.8,66.0,0.0,1.0,0,racquetball,cracker_box
n3_scene0002,2,9,並排有縫,183.7,183.7,0.0,1.0,0,cracker_box,mustard_bottle
n3_scene0002,3,9,並排有縫,183.7,183.7,0.0,0.7,0,cracker_box,mustard_bottle
n3_scene0002,4,8,同物過切,1.0,0.7,0.0,0.68,0,cracker_box,cracker_box
n3_scene0002,7,8,同物過切,9.4,9.4,0.1,0.96,1,cracker_box,cracker_box
n3_scene0002,1,3,並排有縫,123.8,66.0,0.0,0.0,0,racquetball,cracker_box
n3_scene0002,4,7,同物過切,1.4,1.4,0.1,0.64,0,cracker_box,cracker_box
n3_scene0004,4,5,同物過切,1.9,0.2,0.1,0.8,1,rubiks_cube,rubiks_cube
n3_scene0005,1,3,並排有縫,83.3,74.0,0.0,1.0,0,foam_brick,plum
n3_scene0006,1,2,同物過切,81.7,9.1,0.2,0.4,1,wood_block,wood_block
n3_scene0006,1,5,同物過切,1.0,0.5,0.2,1.0,1,wood_block,wood_block
n3_scene0006,1,4,並排有縫,255.8,255.8,0.1,1.0,0,wood_block,phillips_screwdriver
n3_scene0006,2,3,並排有縫,214.9,188.7,0.1,0.0,0,wood_block,cups
n3_scene0006,4,5,並排有縫,231.0,231.0,0.1,1.0,0,phillips_screwdriver,wood_block
n3_scene0006,2,5,同物過切,56.0,19.7,0.1,0.4,1,wood_block,wood_block
n3_scene0006,1,3,並排有縫,49.3,49.3,0.8,1.0,0,wood_block,cups
n3_scene0006,3,5,並排有縫,235.4,235.4,0.0,1.0,0,cups,wood_block
n3_scene0010,2,3,同物過切,5.8,5.8,0.0,1.0,1,master_chef_can,master_chef_can
n3_scene0011,3,4,同物過切,0.8,0.8,0.0,1.0,0,power_drill,power_drill
n3_scene0011,2,7,同物過切,37.0,37.0,0.0,1.0,1,power_drill,power_drill
n3_scene0011,1,8,同物過切,2.6,0.6,0.0,0.67,1,knife,knife
n3_scene0011,9,11,同物過切,9.4,1.3,0.1,0.13,1,sugar_box,sugar_box
n3_scene0011,4,7,同物過切,22.2,7.5,0.0,1.0,1,power_drill,power_drill
