class,cliff,zov,objA,objB,scene
並排有縫,94.72221560602823,1.0,cups,gelatin_box,n3_scene0001
並排有縫,31.435101067741,1.0,racquetball,cracker_box,n3_scene0002
並排有縫,31.435101067741,0.0,racquetball,cracker_box,n3_scene0002
同物過切,46.985454030229086,0.68,cracker_box,cracker_box,n3_scene0002
同物過切,49.8217518782213,0.9615384615384616,cracker_box,cracker_box,n3_scene0002
並排有縫,13.979886343771211,0.0,racquetball,cracker_box,n3_scene0002
並排有縫,162.60306158467807,1.0,cracker_box,mustard_bottle,n3_scene0002
並排有縫,162.60306158467807,0.7,cracker_box,mustard_bottle,n3_scene0002
同物過切,17.587492883887567,0.64,cracker_box,cracker_box,n3_scene0002
同物過切,17.834081366731922,0.0,rubiks_cube,rubiks_cube,n3_scene0004
同物過切,7.74524639763865,0.8,rubiks_cube,rubiks_cube,n3_scene0004
並排有縫,81.15133296610986,1.0,foam_brick,plum,n3_scene0005
並排有縫,192.52724844209735,1.0,wood_block,cups,n3_scene0006
並排有縫,264.76771496887704,1.0,wood_block,phillips_screwdriver,n3_scene0006
並排有縫,262.092969670294,1.0,phillips_screwdriver,wood_block,n3_scene0006
並排有縫,234.90176668876794,0.0,wood_block,cups,n3_scene0006
並排有縫,252.93484489162287,1.0,cups,wood_block,n3_scene0006
同物過切,133.83464102760834,0.4,wood_block,wood_block,n3_scene0006
同物過切,9.985239595809201,1.0,wood_block,wood_block,n3_scene0006
同物過切,173.30864867156183,0.4,wood_block,wood_block,n3_scene0006
並排有縫,160.02322726883875,1.0,tennis_ball,tomato_soup_can,n3_scene0008
同物過切,9.57008516453195,1.0,master_chef_can,master_chef_can,n3_scene0010
同物過切,4.999305731851589,0.6666666666666666,knife,knife,n3_scene0011
同物過切,48.12464361900054,1.0,power_drill,power_drill,n3_scene0011
同物過切,28.432641659297566,1.0,power_drill,power_drill,n3_scene0011
同物過切,10.91864390264552,0.13333333333333333,sugar_box,sugar_box,n3_scene0011
同物過切,100.80387028349259,1.0,power_drill,power_drill,n3_scene0011
同物過切,16.85719398959662,0.13333333333333333,sugar_box,sugar_box,n3_scene0011
同物過切,12.07135102015977,1.0,power_drill,power_drill,n3_scene0011
同物過切,7.816089068405221,1.0,scissors,scissors,n3_scene0012
同物過切,8.660289314689052,0.4,tuna_fish_can,tuna_fish_can,n3_scene0013
同物過切,13.622733015973564,0.2,potted_meat_can,potted_meat_can,n3_scene0015
同物過切,8.41608664617266,1.0,cups,cups,n3_scene0015
同物過切,12.787118214185867,1.0,orange,orange,n3_scene0015
同物過切,13.409646695853317,0.4444444444444444,bleach_cleanser,bleach_cleanser,n3_scene0016
並排有縫,163.55071360083093,1.0,bleach_cleanser,pear,n3_scene0016
並排有縫,156.85875662920378,1.0,mug,bleach_cleanser,n3_scene0016
同物過切,24.10089699049942,1.0,mug,mug,n3_scene0016
並排有縫,307.22365235426304,0.0,bleach_cleanser,pear,n3_scene0016
同物過切,5.003243085646147,1.0,mustard_bottle,mustard_bottle,n3_scene0023
同物過切,4.668027993095403,1.0,tennis_ball,tennis_ball,n3_scene0024
並排有縫,21.39849188304313,1.0,pudding_box,cups,n3_scene0027
同物過切,10.431991678585106,0.16666666666666666,master_chef_can,master_chef_can,n3_scene0028
並排有縫,14.16021003998127,0.8461538461538461,master_chef_can,cracker_box,n3_scene0028
並排有縫,61.15113346709094,1.0,master_chef_can,cracker_box,n3_scene0028
同物過切,19.271835121570103,0.25,bleach_cleanser,bleach_cleanser,n3_scene0028
並排有縫,155.2485389227953,1.0,master_chef_can,cracker_box,n3_scene0028
並排有縫,131.22575218971207,1.0,master_chef_can,cracker_box,n3_scene0028
並排有縫,101.57365342554652,0.8333333333333334,master_chef_can,cracker_box,n3_scene0028
同物過切,9.183384028380148,1.0,cracker_box,cracker_box,n3_scene0028
同物過切,44.239263338263,1.0,cracker_box,cracker_box,n3_scene0028
同物過切,1.5307077707753525,0.0,bleach_cleanser,bleach_cleanser,n3_scene0028
並排有縫,71.9816753098338,0.9615384615384616,master_chef_can,bleach_cleanser,n3_scene0028
並排有縫,155.75216785560775,1.0,master_chef_can,bleach_cleanser,n3_scene0028
同物過切,25.398064194954266,1.0,bleach_cleanser,bleach_cleanser,n3_scene0028
並排有縫,88.42860330287216,1.0,bleach_cleanser,master_chef_can,n3_scene0028
並排有縫,136.32994154762386,0.5714285714285714,bleach_cleanser,cracker_box,n3_scene0028
同物過切,19.061715570471936,0.42857142857142855,bleach_cleanser,bleach_cleanser,n3_scene0028
並排有縫,117.62301544938495,1.0,cracker_box,bleach_cleanser,n3_scene0028
並排有縫,133.62132312104822,1.0,cracker_box,bleach_cleanser,n3_scene0028
