scene,view,childobj,ringobj,same,d_median_mm,d_mean_mm,d_max_mm
stack4_scene0001,view_el30_az135,cups,cups,1,4.7,7.8,20.0
stack4_scene0001,view_el30_az135,cups,cups,1,4.4,7.5,20.0
stack4_scene0001,view_el30_az195,wood_block,wood_block,1,5.3,17.1,6.1
stack4_scene0001,view_el30_az195,cups,cups,1,5.1,9.2,16.1
stack4_scene0001,view_el30_az195,cups,cups,1,4.7,9.0,16.1
stack4_scene0001,view_el30_az210,wood_block,wood_block,1,5.1,5.4,6.9
stack4_scene0001,view_el30_az210,cups,cups,1,4.8,7.8,14.4
stack4_scene0001,view_el30_az210,cups,cups,1,4.7,7.8,14.4
stack4_scene0001,view_el30_az240,cups,cups,1,7.9,8.8,8.8
stack4_scene0001,view_el30_az240,cups,cups,1,7.7,8.4,8.8
stack4_scene0001,view_el30_az240,cups,cups,1,4.0,1.9,13.8
stack4_scene0001,view_el30_az240,cups,cups,1,11.4,9.5,5.0
stack4_scene0001,view_el30_az240,racquetball,racquetball,1,5.8,6.7,3.4
stack4_scene0001,view_el30_az240,racquetball,racquetball,1,5.6,6.7,5.6
stack4_scene0001,view_el45_az135,wood_block,wood_block,1,69.2,64.2,144.8
stack4_scene0001,view_el45_az135,cups,cups,1,9.7,9.7,14.1
stack4_scene0001,view_el45_az135,cups,cups,1,8.7,8.9,15.2
stack4_scene0001,view_el45_az135,cups,cups,1,2.1,4.3,15.2
stack4_scene0001,view_el45_az135,cups,cups,1,8.7,6.8,2.5
stack4_scene0001,view_el45_az225,wood_block,wood_block,1,34.3,26.1,17.5
stack4_scene0001,view_el45_az225,cups,cups,1,4.8,4.2,0.0
stack4_scene0001,view_el45_az225,cups,cups,1,6.3,5.6,0.0
stack4_scene0001,view_el45_az225,racquetball,racquetball,1,5.2,6.6,2.5
stack4_scene0001,view_el45_az225,racquetball,racquetball,1,5.2,6.6,2.5
stack4_scene0001,view_el60_az180,wood_block,wood_block,1,59.7,36.3,67.5
stack4_scene0001,view_el60_az180,wood_block,wood_block,1,63.1,37.6,13.7
stack4_scene0001,view_el60_az180,cups,cups,1,2.7,3.5,7.5
stack4_scene0001,view_el60_az180,wood_block,wood_block,1,11.1,8.4,77.5
stack4_scene0001,view_el60_az195,wood_block,wood_block,1,75.0,57.3,10.3
stack4_scene0001,view_el60_az195,wood_block,wood_block,1,27.6,26.3,10.3
stack4_scene0001,view_el60_az195,cups,cups,1,1.5,2.8,7.1
stack4_scene0001,view_el60_az195,cups,cups,1,7.3,5.1,7.1
stack4_scene0001,view_el60_az195,cups,cups,1,9.0,9.3,3.6
stack4_scene0001,view_el60_az195,cups,cups,1,9.2,8.7,3.6
stack4_scene0001,view_el60_az255,wood_block,wood_block,1,81.7,71.1,13.2
stack4_scene0001,view_el60_az255,wood_block,wood_block,1,80.5,69.8,66.0
stack4_scene0001,view_el60_az255,cups,cups,1,5.0,3.7,0.5
stack4_scene0001,view_el60_az255,cups,cups,1,9.4,7.7,0.5
stack4_scene0001,view_el60_az255,cups,cups,1,1.3,1.3,12.9
stack4_scene0001,view_el60_az255,racquetball,racquetball,1,3.2,4.9,1.8
stack4_scene0001,view_el75_az105,wood_block,wood_block,1,35.5,26.5,9.6
stack4_scene0001,view_el75_az105,cups,cups,1,4.1,0.9,3.7
stack4_scene0001,view_el75_az105,cups,cups,1,10.0,9.3,1.5
stack4_scene0001,view_el75_az105,cups,cups,1,14.4,12.8,1.5
stack4_scene0001,view_el75_az225,wood_block,wood_block,1,37.0,25.2,4.6
stack4_scene0001,view_el75_az225,wood_block,wood_block,1,56.2,42.5,4.6
stack4_scene0001,view_el75_az225,wood_block,wood_block,1,54.3,41.0,4.6
stack4_scene0001,view_el75_az225,wood_block,wood_block,1,1.9,6.1,11.2
stack4_scene0001,view_el75_az225,cups,cups,1,8.7,6.4,0.9
stack4_scene0001,view_el90,cups,cups,1,5.0,4.0,0.0
stack4_scene0001,view_el90,cups,cups,1,15.0,11.5,0.0
stack4_scene0001,view_el90,cups,cups,1,15.0,14.8,0.0
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,12.8,13.6,2.5
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,152.0,106.8,3.1
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,57.9,76.6,174.5
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,64.8,85.4,203.1
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,22.2,22.4,28.6
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,41.7,60.6,188.1
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,11.1,13.7,13.6
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,27.6,48.9,180.6
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,27.6,27.1,6.1
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,102.1,124.7,272.9
stack5_scene0001,view_el30_az135,flat_screwdriver,flat_screwdriver,1,57.2,59.5,24.2
stack5_scene0001,view_el30_az135,flat_screwdriver,flat_screwdriver,1,57.2,59.8,39.8
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,48.7,74.5,211.7
