scene,gidA,gidB,n_adj,n_diff,n_cont,min_step,median_step,same,objA,objB
n3_scene0001,1,15,1,1,0,109.9,109.9,0,gelatin_box,cups
n3_scene0001,1,16,2,2,0,97.8,104.0,0,gelatin_box,cups
n3_scene0001,7,9,2,1,1,19.5,52.7,1,bowl,bowl
n3_scene0001,12,13,3,0,3,5.1,8.1,1,bowl,bowl
n3_scene0001,12,14,2,0,2,12.1,23.0,1,bowl,bowl
n3_scene0002,8,21,3,3,0,66.0,123.8,0,cracker_box,racquetball
n3_scene0002,8,20,1,1,0,194.4,194.4,0,cracker_box,mustard_bottle
n3_scene0002,10,18,7,4,3,12.9,56.9,1,cracker_box,cracker_box
n3_scene0002,6,18,1,1,0,52.7,52.7,1,cracker_box,cracker_box
n3_scene0002,6,11,1,1,0,74.5,74.5,1,cracker_box,cracker_box
n3_scene0002,11,21,1,0,1,27.1,27.1,0,cracker_box,racquetball
n3_scene0002,9,10,2,0,2,0.7,1.0,1,cracker_box,cracker_box
n3_scene0002,9,18,2,0,2,15.1,15.4,1,cracker_box,cracker_box
n3_scene0002,4,24,1,1,0,140.7,140.7,0,mustard_bottle,cracker_box
n3_scene0002,17,24,5,4,1,38.1,140.7,0,mustard_bottle,cracker_box
n3_scene0002,3,24,5,4,1,33.2,108.6,1,cracker_box,cracker_box
n3_scene0002,21,24,3,2,1,8.1,44.8,0,racquetball,cracker_box
n3_scene0002,18,19,1,0,1,7.6,7.6,1,cracker_box,cracker_box
n3_scene0002,8,24,5,5,0,42.0,94.9,1,cracker_box,cracker_box
n3_scene0002,5,24,1,1,0,101.8,101.8,0,mustard_bottle,cracker_box
n3_scene0002,9,24,1,1,0,49.2,49.2,1,cracker_box,cracker_box
n3_scene0002,3,10,2,1,1,2.1,22.2,1,cracker_box,cracker_box
n3_scene0002,23,24,1,0,1,21.0,21.0,1,cracker_box,cracker_box
n3_scene0002,4,8,1,1,0,184.1,184.1,0,mustard_bottle,cracker_box
n3_scene0002,8,17,1,1,0,183.7,183.7,0,cracker_box,mustard_bottle
n3_scene0002,7,24,2,1,1,37.5,52.8,0,mustard_bottle,cracker_box
n3_scene0002,3,8,1,1,0,72.7,72.7,1,cracker_box,cracker_box
n3_scene0002,3,17,1,1,0,143.9,143.9,0,cracker_box,mustard_bottle
n3_scene0002,10,24,1,1,0,52.7,52.7,1,cracker_box,cracker_box
n3_scene0002,7,17,1,0,1,6.8,6.8,1,mustard_bottle,mustard_bottle
n3_scene0002,6,24,1,1,0,184.1,184.1,1,cracker_box,cracker_box
n3_scene0002,8,16,1,0,1,2.5,2.5,1,cracker_box,cracker_box
n3_scene0002,16,24,1,1,0,113.2,113.2,1,cracker_box,cracker_box
n3_scene0003,6,8,1,1,0,163.9,163.9,1,mini_soccer_ball,mini_soccer_ball
n3_scene0003,2,8,1,1,0,180.2,180.2,1,mini_soccer_ball,mini_soccer_ball
n3_scene0003,5,8,1,0,1,9.1,9.1,0,fork,mini_soccer_ball
