class,shoulder,plane_med,zov,objA,objB,scene
並排有縫,0.525,104.0,1.0,cups,gelatin_box,n3_scene0001
並排有縫,0.8461538461538461,123.8,1.0,racquetball,cracker_box,n3_scene0002
並排有縫,0.9555555555555556,183.7,1.0,cracker_box,mustard_bottle,n3_scene0002
並排有縫,0.7307692307692308,183.7,0.7,cracker_box,mustard_bottle,n3_scene0002
同物過切,0.25,1.0,0.68,cracker_box,cracker_box,n3_scene0002
同物過切,0.5,9.4,0.96,cracker_box,cracker_box,n3_scene0002
並排有縫,0.8333333333333334,123.8,0.0,racquetball,cracker_box,n3_scene0002
同物過切,0.11111111111111116,1.4,0.64,cracker_box,cracker_box,n3_scene0002
同物過切,0.3571428571428571,1.9,0.8,rubiks_cube,rubiks_cube,n3_scene0004
並排有縫,0.17500000000000004,83.3,1.0,foam_brick,plum,n3_scene0005
同物過切,0.2857142857142857,81.7,0.4,wood_block,wood_block,n3_scene0006
同物過切,0.10256410256410253,1.0,1.0,wood_block,wood_block,n3_scene0006
並排有縫,0.5063291139240507,255.8,1.0,wood_block,phillips_screwdriver,n3_scene0006
並排有縫,0.6309523809523809,214.9,0.0,wood_block,cups,n3_scene0006
並排有縫,0.6075949367088608,231.0,1.0,phillips_screwdriver,wood_block,n3_scene0006
同物過切,0.5833333333333333,56.0,0.4,wood_block,wood_block,n3_scene0006
並排有縫,0.20512820512820518,49.3,1.0,wood_block,cups,n3_scene0006
並排有縫,0.0,235.4,1.0,cups,wood_block,n3_scene0006
同物過切,0.6949152542372881,5.8,1.0,master_chef_can,master_chef_can,n3_scene0010
同物過切,0.9245283018867925,0.8,1.0,power_drill,power_drill,n3_scene0011
同物過切,0.0,37.0,1.0,power_drill,power_drill,n3_scene0011
同物過切,0.049180327868852514,2.6,0.67,knife,knife,n3_scene0011
同物過切,0.4285714285714286,9.4,0.13,sugar_box,sugar_box,n3_scene0011
同物過切,0.6571428571428571,22.2,1.0,power_drill,power_drill,n3_scene0011
同物過切,0.6062992125984252,12.8,1.0,scissors,scissors,n3_scene0012
同物過切,0.6826923076923077,11.8,0.4,tuna_fish_can,tuna_fish_can,n3_scene0013
同物過切,0.6470588235294117,7.2,0.2,potted_meat_can,potted_meat_can,n3_scene0015
同物過切,0.8285714285714285,12.8,1.0,cups,cups,n3_scene0015
同物過切,0.6875,17.3,1.0,orange,orange,n3_scene0015
同物過切,0.7291666666666667,15.5,1.0,mug,mug,n3_scene0016
並排有縫,0.75,299.9,0.0,bleach_cleanser,pear,n3_scene0016
並排有縫,0.390625,218.4,1.0,bleach_cleanser,pear,n3_scene0016
並排有縫,0.6923076923076923,151.2,1.0,mug,bleach_cleanser,n3_scene0016
同物過切,0.0625,17.7,0.44,bleach_cleanser,bleach_cleanser,n3_scene0016
同物過切,0.59375,9.9,1.0,mustard_bottle,mustard_bottle,n3_scene0023
同物過切,0.6857142857142857,5.4,1.0,tennis_ball,tennis_ball,n3_scene0024
並排有縫,0.07499999999999996,128.7,1.0,pudding_box,cups,n3_scene0027
並排有縫,0.8903225806451613,123.8,1.0,master_chef_can,cracker_box,n3_scene0028
同物過切,0.4736842105263158,0.9,0.96,cracker_box,cracker_box,n3_scene0028
並排有縫,0.9161290322580645,95.2,0.83,master_chef_can,cracker_box,n3_scene0028
並排有縫,0.8260869565217391,184.1,1.0,cracker_box,bleach_cleanser,n3_scene0028
並排有縫,0.8846153846153846,172.5,1.0,bleach_cleanser,master_chef_can,n3_scene0028
並排有縫,0.8156424581005587,155.8,0.57,bleach_cleanser,cracker_box,n3_scene0028
同物過切,0.5225806451612903,10.0,0.17,master_chef_can,master_chef_can,n3_scene0028
同物過切,0.7878787878787878,15.6,0.0,bleach_cleanser,bleach_cleanser,n3_scene0028
同物過切,0.3939393939393939,21.1,0.43,bleach_cleanser,bleach_cleanser,n3_scene0028
並排有縫,0.8235294117647058,119.4,1.0,cracker_box,bleach_cleanser,n3_scene0028
同物過切,0.5714285714285714,10.7,1.0,bleach_cleanser,bleach_cleanser,n3_scene0028
並排有縫,0.06756756756756754,33.5,1.0,master_chef_can,cracker_box,n3_scene0028
同物過切,0.038461538461538436,10.0,0.25,bleach_cleanser,bleach_cleanser,n3_scene0028
並排有縫,0.9594594594594594,154.1,0.96,master_chef_can,bleach_cleanser,n3_scene0028
並排有縫,0.05797101449275366,121.3,1.0,master_chef_can,cracker_box,n3_scene0028
並排有縫,0.8709677419354839,136.0,1.0,master_chef_can,bleach_cleanser,n3_scene0028
並排有縫,0.8985507246376812,177.8,1.0,cracker_box,bleach_cleanser,n3_scene0028
並排有縫,0.7101449275362319,145.2,1.0,cracker_box,bleach_cleanser,n3_scene0028
同物過切,0.5555555555555556,1.2,1.0,rubiks_cube,rubiks_cube,n3_scene0029
並排有縫,0.8620689655172413,84.5,0.11,apple,cups,n3_scene0030
同物過切,0.27118644067796616,5.9,1.0,power_drill,power_drill,n3_scene0030
並排有縫,0.7068965517241379,67.8,1.0,cups,apple,n3_scene0030
並排有縫,0.09375,68.9,0.67,apple,cups,n3_scene0030
同物過切,0.01851851851851849,2.8,0.67,knife,knife,n3_scene0031
同物過切,0.5,8.1,0.25,tomato_soup_can,tomato_soup_can,n3_scene0032
並排有縫,0.5,140.6,1.0,adjustable_wrench,tomato_soup_can,n3_scene0032
並排有縫,0.0,96.0,1.0,tomato_soup_can,bowl,n3_scene0032
並排有縫,0.7948717948717949,136.0,0.0,tomato_soup_can,adjustable_wrench,n3_scene0032
同物過切,0.29032258064516125,6.6,0.71,wood_block,wood_block,n3_scene0033
同物過切,0.18518518518518523,4.7,0.57,wood_block,wood_block,n3_scene0033
同物過切,0.22857142857142854,3.4,1.0,wood_block,wood_block,n3_scene0033
並排有縫,0.828125,61.2,0.0,wood_block,foam_brick,n3_scene0033
並排有縫,0.875,153.4,1.0,lemon,foam_brick,n3_scene0033
同物過切,0.9130434782608696,45.7,1.0,pitcher_base,pitcher_base,n3_scene0034
同物過切,0.9702380952380952,38.7,1.0,pitcher_base,pitcher_base,n3_scene0034
並排有縫,0.8636363636363636,187.3,0.0,cups,pitcher_base,n3_scene0034
並排有縫,0.303030303030303,179.6,1.0,cups,pitcher_base,n3_scene0034
並排有縫,0.9242424242424242,181.0,0.0,cups,pitcher_base,n3_scene0034
同物過切,0.19999999999999996,29.1,1.0,pitcher_base,pitcher_base,n3_scene0034
同物過切,0.037735849056603765,1.2,1.0,fork,fork,n3_scene0036
同物過切,0.7142857142857143,1.4,1.0,large_clamp,large_clamp,n3_scene0036
並排有縫,0.1063829787234043,264.5,0.0,sugar_box,nine_hole_peg_test,n3_scene0037
並排有縫,0.7021276595744681,241.4,1.0,sugar_box,nine_hole_peg_test,n3_scene0037
