scene,view,objA,objB,same,front_depth_diff_mm,rel_diff
occ3_scene0001,view_el30_az135,wood_block,peach,0,30.9,0.91
occ3_scene0001,view_el30_az135,bleach_cleanser,peach,0,22.6,0.7
occ3_scene0001,view_el30_az135,bleach_cleanser,bleach_cleanser,1,28.6,0.86
occ3_scene0001,view_el30_az135,peach,bleach_cleanser,0,62.3,3.42
occ3_scene0001,view_el30_az195,bleach_cleanser,bleach_cleanser,1,114.1,2.8
occ3_scene0001,view_el30_az195,bleach_cleanser,wood_block,0,54.4,0.89
occ3_scene0001,view_el30_az195,bleach_cleanser,peach,0,33.0,0.6
occ3_scene0001,view_el30_az195,bleach_cleanser,bleach_cleanser,1,86.2,1.82
occ3_scene0001,view_el30_az195,bleach_cleanser,wood_block,0,78.3,1.31
occ3_scene0001,view_el30_az195,wood_block,peach,0,14.8,0.38
occ3_scene0001,view_el30_az195,wood_block,bleach_cleanser,0,110.0,1.88
occ3_scene0001,view_el30_az195,bleach_cleanser,bleach_cleanser,1,14.5,0.42
occ3_scene0001,view_el30_az210,bleach_cleanser,wood_block,0,95.0,1.68
occ3_scene0001,view_el30_az210,bleach_cleanser,wood_block,0,81.4,1.56
occ3_scene0001,view_el30_az210,bleach_cleanser,bleach_cleanser,1,53.9,1.57
occ3_scene0001,view_el30_az210,wood_block,bleach_cleanser,0,119.8,2.32
occ3_scene0001,view_el30_az210,wood_block,bleach_cleanser,0,135.4,4.28
occ3_scene0001,view_el30_az210,bleach_cleanser,bleach_cleanser,1,15.6,0.46
occ3_scene0001,view_el30_az240,bleach_cleanser,wood_block,0,66.2,1.17
occ3_scene0001,view_el30_az240,bleach_cleanser,wood_block,0,34.1,0.89
occ3_scene0001,view_el30_az240,bleach_cleanser,peach,0,109.9,2.98
occ3_scene0001,view_el45_az135,bleach_cleanser,bleach_cleanser,1,51.2,1.34
occ3_scene0001,view_el45_az135,bleach_cleanser,bleach_cleanser,1,13.7,0.6
occ3_scene0001,view_el45_az225,bleach_cleanser,wood_block,0,47.0,0.72
occ3_scene0001,view_el45_az225,bleach_cleanser,wood_block,0,63.6,0.87
occ3_scene0001,view_el45_az225,bleach_cleanser,wood_block,0,32.2,0.61
occ3_scene0001,view_el45_az225,bleach_cleanser,peach,0,106.1,2.3
occ3_scene0001,view_el45_az225,bleach_cleanser,wood_block,0,47.1,0.72
occ3_scene0001,view_el45_az225,bleach_cleanser,wood_block,0,63.8,0.87
occ3_scene0001,view_el45_az225,bleach_cleanser,wood_block,0,32.4,0.61
occ3_scene0001,view_el45_az225,bleach_cleanser,peach,0,106.1,2.3
occ3_scene0001,view_el45_az225,bleach_cleanser,bleach_cleanser,1,8.7,0.17
occ3_scene0001,view_el45_az225,bleach_cleanser,wood_block,0,47.1,0.72
occ3_scene0001,view_el45_az225,bleach_cleanser,wood_block,0,63.8,0.87
occ3_scene0001,view_el45_az225,bleach_cleanser,wood_block,0,32.4,0.61
occ3_scene0001,view_el45_az225,bleach_cleanser,peach,0,106.1,2.3
occ3_scene0001,view_el45_az225,bleach_cleanser,bleach_cleanser,1,8.7,0.16
occ3_scene0001,view_el45_az225,wood_block,bleach_cleanser,0,29.7,0.55
occ3_scene0001,view_el45_az225,wood_block,bleach_cleanser,0,99.0,1.73
occ3_scene0001,view_el45_az225,wood_block,bleach_cleanser,0,115.5,2.23
occ3_scene0001,view_el45_az225,wood_block,bleach_cleanser,0,46.3,0.74
occ3_scene0001,view_el45_az225,wood_block,wood_block,1,32.2,0.63
occ3_scene0001,view_el45_az225,wood_block,bleach_cleanser,0,115.7,1.77
occ3_scene0001,view_el45_az225,wood_block,bleach_cleanser,0,84.3,1.88
occ3_scene0001,view_el45_az225,wood_block,bleach_cleanser,0,100.8,2.56
occ3_scene0001,view_el45_az225,bleach_cleanser,bleach_cleanser,1,16.2,0.3
occ3_scene0001,view_el60_az180,wood_block,wood_block,1,47.9,0.7
occ3_scene0001,view_el60_az180,bleach_cleanser,bleach_cleanser,1,82.6,1.02
occ3_scene0001,view_el60_az180,bleach_cleanser,bleach_cleanser,1,16.0,0.31
occ3_scene0001,view_el60_az195,wood_block,wood_block,1,78.9,0.84
occ3_scene0001,view_el60_az195,wood_block,bleach_cleanser,0,75.1,0.96
occ3_scene0001,view_el60_az195,wood_block,bleach_cleanser,0,15.9,0.31
occ3_scene0001,view_el60_az195,wood_block,bleach_cleanser,0,78.1,1.87
occ3_scene0001,view_el60_az195,wood_block,bleach_cleanser,0,29.1,0.33
occ3_scene0001,view_el60_az195,wood_block,bleach_cleanser,0,3.9,0.05
occ3_scene0001,view_el60_az195,wood_block,bleach_cleanser,0,83.7,0.98
occ3_scene0001,view_el60_az195,wood_block,bleach_cleanser,0,100.1,1.43
occ3_scene0001,view_el60_az195,bleach_cleanser,wood_block,0,24.8,0.34
occ3_scene0001,view_el60_az195,wood_block,wood_block,1,10.4,0.25
occ3_scene0001,view_el60_az195,bleach_cleanser,bleach_cleanser,1,79.8,0.84
occ3_scene0001,view_el60_az195,bleach_cleanser,bleach_cleanser,1,16.5,0.19
occ3_scene0001,view_el60_az195,bleach_cleanser,wood_block,0,79.3,1.14
occ3_scene0001,view_el60_az195,bleach_cleanser,wood_block,0,95.8,1.77
occ3_scene0001,view_el60_az255,wood_block,bleach_cleanser,0,17.3,0.19
occ3_scene0001,view_el60_az255,bleach_cleanser,wood_block,0,41.1,0.44
occ3_scene0001,view_el60_az255,wood_block,wood_block,1,44.3,0.67
occ3_scene0001,view_el60_az255,bleach_cleanser,bleach_cleanser,1,19.7,0.36
occ3_scene0001,view_el60_az255,bleach_cleanser,bleach_cleanser,1,19.6,0.49
occ3_scene0001,view_el75_az225,wood_block,wood_block,1,64.6,0.58
occ3_scene0001,view_el75_az225,wood_block,wood_block,1,85.0,0.86
occ3_scene0001,view_el75_az225,wood_block,bleach_cleanser,0,26.8,0.37
occ3_scene0001,view_el75_az225,wood_block,bleach_cleanser,0,34.6,0.33
occ3_scene0001,view_el75_az225,wood_block,bleach_cleanser,0,72.0,0.59
occ3_scene0001,view_el75_az225,wood_block,bleach_cleanser,0,107.8,1.93
occ3_scene0001,view_el75_az225,wood_block,bleach_cleanser,0,25.4,0.28
occ3_scene0001,view_el75_az225,bleach_cleanser,wood_block,0,56.7,0.69
occ3_scene0001,view_el90,wood_block,wood_block,1,0.1,0.0
occ3_scene0001,view_el90,wood_block,peach,0,150.1,4.62
occ3_scene0001,view_el90,wood_block,bleach_cleanser,0,5.0,0.09
occ3_scene0001,view_el90,wood_block,bleach_cleanser,0,30.0,0.57
occ3_scene0002,view_el30_az135,apple,plum,0,27.6,1.61
occ3_scene0002,view_el30_az135,cups,cups,1,9.7,0.43
occ3_scene0002,view_el30_az195,apple,plum,0,44.1,2.57
occ3_scene0002,view_el30_az195,cups,cups,1,13.1,0.59
occ3_scene0002,view_el30_az195,plum,apple,0,56.9,3.89
occ3_scene0002,view_el30_az210,apple,plum,0,40.4,2.41
occ3_scene0002,view_el30_az210,cups,cups,1,12.3,0.54
occ3_scene0002,view_el30_az210,plum,apple,0,49.8,3.38
occ3_scene0002,view_el30_az240,cups,apple,0,120.1,5.76
occ3_scene0002,view_el30_az240,cups,cups,1,8.3,0.37
occ3_scene0002,view_el30_az240,apple,cups,0,124.9,5.56
occ3_scene0002,view_el45_az135,cups,cups,1,12.3,0.48
occ3_scene0002,view_el45_az135,cups,cups,1,15.8,0.67
occ3_scene0002,view_el45_az225,apple,plum,0,21.9,1.2
occ3_scene0002,view_el60_az180,cups,cups,1,15.3,0.51
occ3_scene0002,view_el60_az195,cups,cups,1,14.8,0.51
occ3_scene0002,view_el60_az255,cups,cups,1,2.3,0.13
occ3_scene0003,view_el30_az195,mustard_bottle,plum,0,32.9,1.18
occ3_scene0003,view_el30_az195,mustard_bottle,mustard_bottle,1,27.1,0.66
occ3_scene0003,view_el30_az195,mustard_bottle,plum,0,37.1,1.37
occ3_scene0003,view_el30_az195,mustard_bottle,mustard_bottle,1,32.9,1.18
occ3_scene0003,view_el30_az195,mustard_bottle,mustard_bottle,1,28.4,0.74
occ3_scene0003,view_el30_az195,mustard_bottle,plum,0,48.5,1.7
occ3_scene0003,view_el30_az195,mustard_bottle,plum,0,26.0,1.1
occ3_scene0003,view_el30_az195,mustard_bottle,mustard_bottle,1,3.1,0.09
occ3_scene0003,view_el30_az195,mustard_bottle,mustard_bottle,1,3.1,0.09
occ3_scene0003,view_el30_az195,mustard_bottle,mustard_bottle,1,21.7,0.9
occ3_scene0003,view_el30_az195,mustard_bottle,mustard_bottle,1,5.6,0.23
occ3_scene0003,view_el30_az195,mustard_bottle,mustard_bottle,1,40.7,1.84
occ3_scene0003,view_el30_az210,mustard_bottle,plum,0,18.4,0.63
occ3_scene0003,view_el30_az210,mustard_bottle,plum,0,36.3,1.39
occ3_scene0003,view_el30_az210,mustard_bottle,mustard_bottle,1,37.2,1.45
occ3_scene0003,view_el30_az210,mustard_bottle,mustard_bottle,1,25.8,0.72
occ3_scene0003,view_el30_az210,mustard_bottle,plum,0,44.6,1.73
occ3_scene0003,view_el30_az210,mustard_bottle,plum,0,20.0,0.89
occ3_scene0003,view_el30_az210,mustard_bottle,mustard_bottle,1,3.0,0.1
occ3_scene0003,view_el30_az210,mustard_bottle,mustard_bottle,1,20.9,0.95
occ3_scene0003,view_el30_az210,mustard_bottle,mustard_bottle,1,3.4,0.16
occ3_scene0003,view_el30_az240,mustard_bottle,baseball,0,104.9,4.35
occ3_scene0003,view_el30_az240,mustard_bottle,plum,0,0.6,0.01
occ3_scene0003,view_el30_az240,mustard_bottle,baseball,0,121.4,3.99
occ3_scene0003,view_el30_az240,mustard_bottle,plum,0,13.7,0.49
occ3_scene0003,view_el30_az240,baseball,plum,0,107.7,6.53
occ3_scene0003,view_el30_az240,mustard_bottle,mustard_bottle,1,2.2,0.19
occ3_scene0003,view_el45_az135,mustard_bottle,mustard_bottle,1,45.1,1.03
occ3_scene0003,view_el45_az225,mustard_bottle,plum,0,7.1,0.19
occ3_scene0003,view_el45_az225,mustard_bottle,plum,0,2.6,0.07
occ3_scene0003,view_el45_az225,mustard_bottle,plum,0,17.8,0.57
occ3_scene0003,view_el45_az225,mustard_bottle,mustard_bottle,1,6.6,0.53
occ3_scene0003,view_el60_az180,mustard_bottle,plum,0,31.3,0.74
occ3_scene0003,view_el60_az180,mustard_bottle,plum,0,30.6,0.72
occ3_scene0003,view_el60_az180,mustard_bottle,plum,0,4.0,0.11
occ3_scene0003,view_el60_az180,mustard_bottle,mustard_bottle,1,13.0,0.31
occ3_scene0003,view_el60_az180,plum,mustard_bottle,0,16.3,0.85
occ3_scene0003,view_el60_az195,mustard_bottle,plum,0,22.3,0.51
occ3_scene0003,view_el60_az195,mustard_bottle,plum,0,25.7,0.6
occ3_scene0003,view_el60_az195,plum,mustard_bottle,0,17.3,0.85
occ3_scene0003,view_el60_az255,mustard_bottle,mustard_bottle,1,9.4,0.38
occ3_scene0003,view_el75_az225,mustard_bottle,mustard_bottle,1,61.9,2.57
occ3_scene0004,view_el30_az135,pitcher_base,pitcher_base,1,12.5,0.24
occ3_scene0004,view_el30_az240,pitcher_base,foam_brick,0,178.8,3.11
occ3_scene0004,view_el45_az135,pitcher_base,pitcher_base,1,66.8,1.15
occ3_scene0004,view_el45_az135,pitcher_base,pitcher_base,1,59.9,1.0
