scene,view,childobj,parentobj,same,d_ring-d_child_mm,boundary_jump_mm,d_child_mm,d_ring_mm
stack4_scene0001,view_el30_az135,cups,cups,1,1.4,5.3,730.2,731.6
stack4_scene0001,view_el30_az135,cups,cups,1,-1.5,7.9,731.6,730.0
stack4_scene0001,view_el30_az195,wood_block,wood_block,1,-12.6,43.5,598.4,585.8
stack4_scene0001,view_el30_az195,cups,cups,1,0.3,15.9,601.5,601.8
stack4_scene0001,view_el30_az195,cups,cups,1,-0.7,6.4,602.2,601.5
stack4_scene0001,view_el30_az210,wood_block,wood_block,1,-10.3,13.3,603.7,593.4
stack4_scene0001,view_el30_az210,cups,cups,1,1.5,14.7,567.4,568.9
stack4_scene0001,view_el30_az210,cups,cups,1,-1.3,9.7,568.8,567.5
stack4_scene0001,view_el30_az240,cups,cups,1,5.6,4.5,508.7,514.3
stack4_scene0001,view_el30_az240,cups,cups,1,-5.9,22.7,514.4,508.5
stack4_scene0001,view_el30_az240,cups,cups,1,-16.5,13.7,525.4,509.0
stack4_scene0001,view_el30_az240,cups,cups,1,-16.3,13.7,525.4,509.1
stack4_scene0001,view_el30_az240,racquetball,racquetball,1,3.4,-6.1,702.7,706.0
stack4_scene0001,view_el30_az240,racquetball,racquetball,1,-3.3,-4.6,705.5,702.2
stack4_scene0001,view_el45_az135,wood_block,wood_block,1,64.2,-7.7,492.4,556.6
stack4_scene0001,view_el45_az135,cups,cups,1,-7.5,18.9,705.0,697.5
stack4_scene0001,view_el45_az135,cups,cups,1,6.4,2.2,698.0,704.4
stack4_scene0001,view_el45_az135,cups,cups,1,2.5,3.2,699.0,701.5
stack4_scene0001,view_el45_az135,cups,cups,1,-2.0,3.2,699.0,697.0
stack4_scene0001,view_el45_az225,wood_block,wood_block,1,-27.6,27.1,596.6,569.0
stack4_scene0001,view_el45_az225,cups,cups,1,1.1,10.2,544.1,545.2
stack4_scene0001,view_el45_az225,cups,cups,1,3.6,3.5,541.9,545.5
stack4_scene0001,view_el45_az225,racquetball,racquetball,1,-8.5,15.6,708.6,700.1
stack4_scene0001,view_el45_az225,racquetball,racquetball,1,-8.5,15.6,708.6,700.1
stack4_scene0001,view_el60_az180,wood_block,wood_block,1,-29.3,18.9,565.1,535.8
stack4_scene0001,view_el60_az180,wood_block,wood_block,1,21.3,17.3,533.3,554.6
stack4_scene0001,view_el60_az180,cups,cups,1,0.7,8.8,614.4,615.1
stack4_scene0001,view_el60_az180,wood_block,wood_block,1,6.8,-1.8,544.5,551.3
stack4_scene0001,view_el60_az195,wood_block,wood_block,1,50.7,-17.3,516.8,567.5
stack4_scene0001,view_el60_az195,wood_block,wood_block,1,-22.3,-18.8,570.7,548.4
stack4_scene0001,view_el60_az195,cups,cups,1,2.5,8.3,593.1,595.6
stack4_scene0001,view_el60_az195,cups,cups,1,-11.0,24.1,602.8,591.7
stack4_scene0001,view_el60_az195,cups,cups,1,-6.9,-2.4,600.6,593.7
stack4_scene0001,view_el60_az195,cups,cups,1,-9.1,-2.9,600.6,591.5
stack4_scene0001,view_el60_az255,wood_block,wood_block,1,-70.0,13.0,590.6,520.6
stack4_scene0001,view_el60_az255,wood_block,wood_block,1,67.3,5.1,521.3,588.5
stack4_scene0001,view_el60_az255,cups,cups,1,19.8,-2.4,515.8,535.6
stack4_scene0001,view_el60_az255,cups,cups,1,-28.5,16.0,558.0,529.4
stack4_scene0001,view_el60_az255,cups,cups,1,-7.9,17.9,537.3,529.4
stack4_scene0001,view_el60_az255,racquetball,racquetball,1,-7.5,12.5,649.4,641.9
stack4_scene0001,view_el75_az105,wood_block,wood_block,1,-0.5,-31.7,510.8,510.3
stack4_scene0001,view_el75_az105,cups,cups,1,1.5,2.2,637.4,638.9
stack4_scene0001,view_el75_az105,cups,cups,1,10.3,-0.9,630.3,640.7
stack4_scene0001,view_el75_az105,cups,cups,1,12.0,-7.0,630.3,642.3
stack4_scene0001,view_el75_az225,wood_block,wood_block,1,43.4,1.9,514.6,558.0
stack4_scene0001,view_el75_az225,wood_block,wood_block,1,-35.9,-17.5,559.6,523.8
stack4_scene0001,view_el75_az225,wood_block,wood_block,1,-25.1,11.6,554.4,529.3
stack4_scene0001,view_el75_az225,wood_block,wood_block,1,32.6,-9.1,554.4,587.0
stack4_scene0001,view_el75_az225,cups,cups,1,12.8,-6.1,564.9,577.6
stack4_scene0001,view_el90,cups,cups,1,10.0,5.0,591.5,601.5
stack4_scene0001,view_el90,cups,cups,1,10.0,-5.0,591.5,601.5
stack4_scene0001,view_el90,cups,cups,1,10.0,-7.5,591.5,601.5
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,-55.7,-2.5,638.7,583.0
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,-57.7,-15.4,635.5,577.7
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,33.9,12.4,564.4,598.3
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,35.9,19.2,559.9,595.8
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,12.5,23.5,559.9,572.4
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,9.2,14.7,584.1,593.3
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,-25.0,2.8,584.1,559.1
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,12.1,-0.7,581.2,593.3
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,-17.2,,581.2,564.0
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,84.0,-8.9,510.4,594.4
stack5_scene0001,view_el30_az135,flat_screwdriver,flat_screwdriver,1,-52.2,23.6,802.0,749.8
stack5_scene0001,view_el30_az135,flat_screwdriver,flat_screwdriver,1,-52.9,26.4,802.0,749.1
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,-3.6,13.1,596.4,592.8
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,46.4,13.1,596.4,642.8
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,1.4,-124.4,591.7,593.0
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,-102.4,52.3,694.6,592.2
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,-61.0,52.3,694.6,633.6
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,-28.4,-0.8,621.1,592.8
