scene,view,objA,objB,same,plane_step_mm,plane_step_rel,plane_step_reldepth,plane_step_relrange,region_diff_mm,tall
stack4_scene0001,view_el30_az135,wood_block,racquetball,0,109.5,4.44,189.83,1.19,159.7,1
stack4_scene0001,view_el30_az135,cups,cups,1,3.4,0.34,4.91,0.09,13.3,0
stack4_scene0001,view_el30_az195,wood_block,racquetball,0,158.4,15.64,244.76,1.74,169.2,1
stack4_scene0001,view_el30_az195,wood_block,racquetball,0,118.6,28.22,177.74,1.27,164.4,1
stack4_scene0001,view_el30_az195,cups,cups,1,5.4,0.61,9.52,0.15,5.3,0
stack4_scene0001,view_el30_az210,cups,cups,1,4.5,0.45,8.41,0.14,2.0,0
stack4_scene0001,view_el30_az240,cups,cups,1,6.3,0.66,13.05,0.19,1.0,0
stack4_scene0001,view_el30_az240,racquetball,racquetball,1,1.0,0.22,1.48,0.04,11.9,0
stack4_scene0001,view_el45_az135,wood_block,cups,0,202.7,11.94,342.05,1.65,181.3,1
stack4_scene0001,view_el45_az135,wood_block,racquetball,0,95.2,3.06,178.87,0.89,162.0,1
stack4_scene0001,view_el45_az135,cups,cups,1,2.9,0.36,4.32,0.08,1.8,0
stack4_scene0001,view_el45_az135,cups,cups,1,0.9,0.09,1.34,0.02,9.8,0
stack4_scene0001,view_el60_az180,wood_block,wood_block,1,3.6,0.13,6.98,0.03,7.4,1
stack4_scene0001,view_el60_az180,wood_block,wood_block,1,67.0,2.54,142.64,0.6,53.6,1
stack4_scene0001,view_el60_az180,wood_block,wood_block,1,6.4,0.52,12.61,0.06,25.1,1
stack4_scene0001,view_el60_az180,wood_block,wood_block,1,52.7,1.64,111.83,0.75,29.0,1
stack4_scene0001,view_el60_az195,wood_block,racquetball,0,181.2,7.31,314.18,1.58,165.7,1
stack4_scene0001,view_el60_az195,wood_block,wood_block,1,41.7,2.94,89.41,0.48,46.6,1
stack4_scene0001,view_el60_az195,wood_block,racquetball,0,170.0,11.32,294.84,2.47,196.1,1
stack4_scene0001,view_el60_az195,wood_block,racquetball,0,172.9,15.46,297.0,1.3,149.5,1
stack4_scene0001,view_el60_az195,cups,cups,1,4.2,0.37,7.31,0.09,12.6,0
stack4_scene0001,view_el60_az255,wood_block,wood_block,1,19.3,2.91,41.39,0.17,60.5,1
stack4_scene0001,view_el60_az255,cups,cups,1,7.3,1.08,14.03,0.23,12.7,0
stack4_scene0001,view_el75_az225,wood_block,wood_block,1,11.2,1.44,25.63,0.17,54.6,1
stack4_scene0001,view_el75_az225,wood_block,wood_block,1,11.8,1.53,26.89,0.18,51.3,1
stack5_scene0001,view_el30_az135,cracker_box,master_chef_can,0,127.6,13.17,199.9,1.19,167.2,1
stack5_scene0001,view_el30_az135,cracker_box,master_chef_can,0,121.7,12.86,197.1,1.19,149.2,1
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,0.6,0.22,1.05,0.01,55.9,1
stack5_scene0001,view_el30_az135,cracker_box,master_chef_can,0,112.8,43.96,171.93,1.49,128.3,1
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,2.4,1.13,4.86,0.04,44.8,1
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,23.1,1.27,43.3,0.47,17.0,1
stack5_scene0001,view_el30_az135,cracker_box,cracker_box,1,0.3,0.14,0.65,0.01,15.0,1
stack5_scene0001,view_el30_az135,flat_screwdriver,flat_screwdriver,1,3.7,0.57,4.94,0.07,31.7,1
stack5_scene0001,view_el30_az135,flat_screwdriver,flat_screwdriver,1,32.4,7.73,43.64,1.2,60.8,1
stack5_scene0001,view_el30_az195,cracker_box,flat_screwdriver,0,301.9,64.07,463.27,3.35,278.5,1
stack5_scene0001,view_el30_az195,cracker_box,cracker_box,1,1.0,0.44,1.85,0.02,7.0,1
stack5_scene0001,view_el30_az210,cracker_box,flat_screwdriver,0,271.6,54.38,433.93,2.75,233.3,1
stack5_scene0001,view_el30_az210,cracker_box,apple,0,157.7,30.91,245.85,1.6,195.1,1
stack5_scene0001,view_el30_az210,master_chef_can,flat_screwdriver,0,256.5,37.35,397.45,3.54,240.8,1
stack5_scene0001,view_el30_az210,master_chef_can,master_chef_can,1,9.3,1.03,18.72,0.14,30.7,1
