scene,view,objA,objB,same,clipcos,drgb,dhist,dtex
stack3_scene0001,view_el30_az135,cups,cups,1,0.696,15.3,0.462,28.7
stack3_scene0001,view_el30_az135,cups,sponge,0,0.492,119.7,1.0,23.9
stack3_scene0001,view_el30_az135,cups,colored_wood_blocks,0,0.497,87.2,0.99,9.4
stack3_scene0001,view_el30_az135,cups,cups,1,0.697,43.1,0.565,1.5
stack3_scene0001,view_el30_az135,cups,sponge,0,0.645,106.1,1.0,4.8
stack3_scene0001,view_el30_az135,cups,colored_wood_blocks,0,0.551,101.3,0.996,38.1
stack3_scene0001,view_el30_az135,cups,cups,1,0.497,57.8,0.73,27.2
stack3_scene0001,view_el30_az135,sponge,colored_wood_blocks,0,0.396,187.5,0.957,33.3
stack3_scene0001,view_el30_az135,sponge,cups,0,0.489,153.2,1.0,22.4
stack3_scene0001,view_el30_az135,colored_wood_blocks,cups,0,0.5,45.4,0.978,10.9
stack3_scene0001,view_el30_az195,cups,sponge,0,0.228,121.0,0.998,166.4
stack3_scene0001,view_el30_az195,cups,cups,1,0.391,28.8,0.433,171.2
stack3_scene0001,view_el30_az195,cups,cups,1,0.498,28.1,0.445,146.8
stack3_scene0001,view_el30_az195,cups,colored_wood_blocks,0,0.333,83.8,0.949,146.1
stack3_scene0001,view_el30_az195,sponge,cups,0,0.508,143.0,0.997,4.9
stack3_scene0001,view_el30_az195,sponge,cups,0,0.409,145.1,0.999,19.5
stack3_scene0001,view_el30_az195,sponge,colored_wood_blocks,0,0.366,192.1,0.967,20.2
stack3_scene0001,view_el30_az195,cups,cups,1,0.587,4.9,0.344,24.4
stack3_scene0001,view_el30_az195,cups,colored_wood_blocks,0,0.641,55.6,0.84,25.1
stack3_scene0001,view_el30_az195,cups,colored_wood_blocks,0,0.426,56.4,0.824,0.7
stack3_scene0001,view_el30_az210,cups,sponge,0,0.364,106.4,0.996,169.5
stack3_scene0001,view_el30_az210,cups,cups,1,0.298,62.9,0.493,175.9
stack3_scene0001,view_el30_az210,cups,cups,1,0.497,55.3,0.501,149.1
stack3_scene0001,view_el30_az210,cups,colored_wood_blocks,0,0.291,105.6,0.939,146.4
stack3_scene0001,view_el30_az210,sponge,cups,0,0.532,151.2,0.996,6.4
stack3_scene0001,view_el30_az210,sponge,cups,0,0.47,147.2,1.0,20.4
stack3_scene0001,view_el30_az210,sponge,colored_wood_blocks,0,0.479,189.8,0.959,23.1
stack3_scene0001,view_el30_az210,cups,cups,1,0.527,8.6,0.326,26.8
stack3_scene0001,view_el30_az210,cups,colored_wood_blocks,0,0.633,43.5,0.793,29.5
stack3_scene0001,view_el30_az210,cups,colored_wood_blocks,0,0.487,50.9,0.765,2.7
stack3_scene0001,view_el30_az240,cups,sponge,0,0.473,156.6,0.994,4.7
stack3_scene0001,view_el30_az240,cups,colored_wood_blocks,0,0.623,36.2,0.781,26.0
stack3_scene0001,view_el30_az240,sponge,colored_wood_blocks,0,0.585,188.6,0.902,30.8
stack3_scene0001,view_el45_az135,cups,sponge,0,0.513,108.8,0.997,27.9
