scene,upper,lower,method,maxleak,minpurity,separated,leak_upper,leak_lower,pur_upper,pur_lower
stack3_scene0005,foam_brick,gelatin_box,瘦c-S,0.1990,0.8470,1,0.0000,0.1990,0.8470,1.0000
stack3_scene0005,foam_brick,gelatin_box,瘦c-Sd,0.7562,0.5930,0,0.0000,0.7562,0.5930,0.5930
stack3_scene0005,foam_brick,gelatin_box,瘦c-Se,0.7562,0.5930,0,0.0000,0.7562,0.5930,0.5930
stack3_scene0005,foam_brick,gelatin_box,瘦f-S,0.0572,0.9524,1,0.0043,0.0572,0.9524,0.9947
stack3_scene0005,foam_brick,gelatin_box,瘦f-Sd,0.0299,0.9746,1,0.0043,0.0299,0.9746,0.9948
stack3_scene0005,foam_brick,gelatin_box,瘦f-Se,0.0299,0.9746,1,0.0043,0.0299,0.9746,0.9948
stack3_scene0005,foam_brick,gelatin_box,胖c-S,0.1751,0.8593,1,0.0041,0.1751,0.8593,0.9930
stack3_scene0005,foam_brick,gelatin_box,胖c-Sd,0.1705,0.8625,1,0.0041,0.1705,0.8625,0.9926
stack3_scene0005,foam_brick,gelatin_box,胖c-Se,0.1705,0.8625,1,0.0041,0.1705,0.8625,0.9926
stack3_scene0005,foam_brick,gelatin_box,胖f-S,0.0899,0.9254,1,0.0021,0.0899,0.9254,0.9975
stack3_scene0005,foam_brick,gelatin_box,胖f-Sd,0.1221,0.9013,1,0.0021,0.1221,0.9013,0.9974
stack3_scene0005,foam_brick,gelatin_box,胖f-Se,0.1221,0.9013,1,0.0021,0.1221,0.9013,0.9974
stack3_scene0006,tomato_soup_can,tuna_fish_can,瘦c-S,0.0503,0.9691,1,0.0030,0.0503,0.9691,0.9929
stack3_scene0006,tomato_soup_can,tuna_fish_can,瘦c-Sd,0.0344,0.9786,1,0.0030,0.0344,0.9786,0.9929
stack3_scene0006,tomato_soup_can,tuna_fish_can,瘦c-Se,0.0344,0.9786,1,0.0030,0.0344,0.9786,0.9929
stack3_scene0006,tomato_soup_can,tuna_fish_can,瘦f-S,0.3198,0.6371,1,0.3198,0.0079,0.9934,0.6371
stack3_scene0006,tomato_soup_can,tuna_fish_can,瘦f-Sd,0.3198,0.6334,1,0.3198,0.0079,0.9934,0.6334
stack3_scene0006,tomato_soup_can,tuna_fish_can,瘦f-Se,0.3198,0.6334,1,0.3198,0.0079,0.9934,0.6334
stack3_scene0006,tomato_soup_can,tuna_fish_can,胖c-S,0.0483,0.9683,1,0.0000,0.0483,0.9683,1.0000
stack3_scene0006,tomato_soup_can,tuna_fish_can,胖c-Sd,0.0529,0.9654,1,0.0000,0.0529,0.9654,1.0000
stack3_scene0006,tomato_soup_can,tuna_fish_can,胖c-Se,0.0529,0.9654,1,0.0000,0.0529,0.9654,1.0000
stack3_scene0006,tomato_soup_can,tuna_fish_can,胖f-S,0.3250,0.6426,1,0.3250,0.0115,0.9898,0.6426
stack3_scene0006,tomato_soup_can,tuna_fish_can,胖f-Sd,0.3250,0.6421,1,0.3250,0.0092,0.9918,0.6421
stack3_scene0006,tomato_soup_can,tuna_fish_can,胖f-Se,0.3250,0.6421,1,0.3250,0.0092,0.9918,0.6421
stack3_scene0011,tomato_soup_can,tuna_fish_can,瘦c-S,0.0384,0.9767,1,0.0015,0.0384,0.9767,0.9962
stack3_scene0011,tomato_soup_can,tuna_fish_can,瘦c-Sd,0.0384,0.9766,1,0.0015,0.0384,0.9766,0.9961
stack3_scene0011,tomato_soup_can,tuna_fish_can,瘦c-Se,0.0384,0.9766,1,0.0015,0.0384,0.9766,0.9961
stack3_scene0011,tomato_soup_can,tuna_fish_can,瘦f-S,0.2705,0.6711,1,0.2705,0.0110,0.9916,0.6711
stack3_scene0011,tomato_soup_can,tuna_fish_can,瘦f-Sd,0.2658,0.6736,1,0.2658,0.0110,0.9916,0.6736
stack3_scene0011,tomato_soup_can,tuna_fish_can,瘦f-Se,0.2658,0.6736,1,0.2658,0.0110,0.9916,0.6736
stack3_scene0011,tomato_soup_can,tuna_fish_can,胖c-S,0.0519,0.9647,1,0.0016,0.0519,0.9647,0.9963
stack3_scene0011,tomato_soup_can,tuna_fish_can,胖c-Sd,0.0495,0.9663,1,0.0016,0.0495,0.9663,0.9962
stack3_scene0011,tomato_soup_can,tuna_fish_can,胖c-Se,0.0495,0.9663,1,0.0016,0.0495,0.9663,0.9962
stack3_scene0011,tomato_soup_can,tuna_fish_can,胖f-S,0.2819,0.6892,1,0.2819,0.0401,0.9641,0.6892
stack3_scene0011,tomato_soup_can,tuna_fish_can,胖f-Sd,0.2819,0.6887,1,0.2819,0.0425,0.9620,0.6887
stack3_scene0011,tomato_soup_can,tuna_fish_can,胖f-Se,0.2819,0.6887,1,0.2819,0.0425,0.9620,0.6887
stack3_scene0013,foam_brick,sponge,瘦c-S,0.1246,0.9068,1,0.0023,0.1246,0.9068,0.9693
stack3_scene0013,foam_brick,sponge,瘦c-Sd,0.0793,0.9386,1,0.0023,0.0793,0.9386,0.9960
stack3_scene0013,foam_brick,sponge,瘦c-Se,0.0793,0.9386,1,0.0023,0.0793,0.9386,0.9960
stack3_scene0013,foam_brick,sponge,瘦f-S,0.0312,0.9743,1,0.0045,0.0312,0.9754,0.9743
stack3_scene0013,foam_brick,sponge,瘦f-Sd,0.0340,0.9733,1,0.0045,0.0340,0.9733,0.9941
stack3_scene0013,foam_brick,sponge,瘦f-Se,0.0340,0.9733,1,0.0045,0.0340,0.9733,0.9941
stack3_scene0013,foam_brick,sponge,胖c-S,0.1715,0.8723,1,0.0000,0.1715,0.8723,1.0000
stack3_scene0013,foam_brick,sponge,胖c-Sd,0.1346,0.8970,1,0.0000,0.1346,0.8970,1.0000
stack3_scene0013,foam_brick,sponge,胖c-Se,0.1346,0.8970,1,0.0000,0.1346,0.8970,1.0000
stack3_scene0013,foam_brick,sponge,胖f-S,0.0153,0.9816,1,0.0153,0.0053,0.9956,0.9816
stack3_scene0013,foam_brick,sponge,胖f-Sd,0.0153,0.9815,1,0.0153,0.0079,0.9934,0.9815
stack3_scene0013,foam_brick,sponge,胖f-Se,0.0153,0.9815,1,0.0153,0.0079,0.9934,0.9815
stack3_scene0014,tomato_soup_can,master_chef_can,瘦c-S,0.0153,0.9823,1,0.0153,0.0069,0.9823,0.9913
