scene,upper,lower,baseline,veto,crossing,span3d
stack3_scene0005,foam_brick,gelatin_box,✓,✓,✓,✗
stack3_scene0006,tomato_soup_can,tuna_fish_can,✓,✗,✗,✗
stack3_scene0011,tomato_soup_can,tuna_fish_can,✓,✓,✗,✗
stack3_scene0013,foam_brick,sponge,✓,✗,✗,✗
stack3_scene0014,tomato_soup_can,master_chef_can,✓,✓,✗,✓
stack3_scene0015,foam_brick,gelatin_box,✓,✓,✗,✗
stack3_scene0016,tomato_soup_can,tuna_fish_can,✓,✗,✗,✗
stack3_scene0017,tomato_soup_can,master_chef_can,✓,✓,✗,✓
stack3_scene0019,foam_brick,wood_block,✓,✓,✓,✓
stack4_scene0002,tomato_soup_can,tuna_fish_can,✓,✗,✗,✗
stack4_scene0003,master_chef_can,pudding_box,✓,✓,✓,✓
stack4_scene0006,tomato_soup_can,gelatin_box,✓,✓,✗,✓
stack4_scene0007,sugar_box,sponge,✓,✓,✓,✗
stack4_scene0009,master_chef_can,pudding_box,✓,✗,✓,✓
stack4_scene0010,tuna_fish_can,master_chef_can,✓,✗,✗,✗
stack4_scene0011,tomato_soup_can,master_chef_can,✓,✓,✗,✓
stack4_scene0012,tomato_soup_can,gelatin_box,✓,✗,✓,✓
stack4_scene0014,sugar_box,sponge,✓,✗,✗,✗
stack4_scene0017,foam_brick,master_chef_can,✓,✓,✗,✗
stack4_scene0018,tomato_soup_can,tuna_fish_can,✓,✗,✗,✗
stack5_scene0005,tuna_fish_can,pudding_box,✓,✗,✗,✓
stack5_scene0008,tomato_soup_can,tuna_fish_can,✓,✗,✓,✗
stack5_scene0011,foam_brick,sponge,✓,✗,✓,✗
stack5_scene0013,foam_brick,sponge,✓,✗,✗,✗
stack5_scene0014,sugar_box,cracker_box,✓,✓,✓,✓
stack5_scene0016,tomato_soup_can,wood_block,✓,✓,✓,✓
stack5_scene0018,tomato_soup_can,gelatin_box,✓,✗,✓,✓
stack5_scene0019,sugar_box,cracker_box,✗,✗,✗,✗
stack5_scene0020,tuna_fish_can,pudding_box,✓,✗,✗,✓
